Molothrus bonariensis
Monomorium destructor
Monomorium floricola
Monomorium pharaonis
Monopterus albus
Montia fontana
Morella faya
Morone americana
Morus alba
Mus musculus
Musculista senhousia
Mustela erminea
Mustela furo
Mustela nivalis
Mya arenaria
Mycale grandis
Myiopsitta monachus
Myocastor coypus
Myriophyllum aquaticum
Myriophyllum heterophyllum
Myriophyllum spicatum
Myrmica rubra
Mytilopsis leucophaeata
Mytilopsis sallei
Mytilus galloprovincialis
Myxobolus cerebralis
Najas minor
Nassella neesiana
Nassella tenuissima
Neogobius melanostomus
Neonectria
Neovison vison (=Mustela vison)
Nephrolepis cordifolia
Newcastle disease virus (NDV)
Neyraudia reynaudiana
Nicotiana glauca
Norops grahami
Norops sagrei
Nylanderia (=Paratrechina) pubens
Nymphaea odorata
Nymphoides peltata
Ochlerotatus japonicus japonicus
Ocimum gratissimum
Odocoileus virginianus
Oeceoclades maculata
Olea europaea
Oncorhynchus mykiss
Onopordum acanthium
Oopterus soledadinus
Ophiostoma ulmi sensu lato
Oplismenus hirtellus ssp. undulatifolius
Opuntia cochenillifera
Opuntia ficus-indica
Opuntia monacantha
Opuntia stricta
Oracella acuta
Orconectes rusticus
Orconectes virilis
Oreochromis aureus
Oreochromis mossambicus
Oreochromis niloticus
Oreochromis spp.
Orthezia insignis
Orthotomicus erosus
Oryctes rhinoceros
Oryctolagus cuniculus
Osteopilus septentrionalis
Ostrea edulis
Ovis ammon
Ovis aries
Oxalis corniculata
Oxalis latifolia
Oxalis pes-caprae
Oxycaryum cubense
Oxyura jamaicensis
Pacifastacus leniusculus
Paederia foetida
Panicum repens
Paratachardina pseudolobata
Paratrechina longicornis
Parthenium hysterophorus
Paspalum scrobiculatum
Paspalum urvillei
Paspalum vaginatum
Passer domesticus
Passiflora edulis
Passiflora foetida
Passiflora maliformis
Passiflora suberosa
Passiflora tarminiana
Pasteurella multocida
Paulownia tomentosa
Perca fluviatilis
Perna perna
Perna viridis
Petromyzon marinus
Phalaris arundinacea
Phalloceros caudimaculatus
Pheidole megacephala
Phellinus noxius
Philornis downsi
Phoenix canariensis
Phormium tenax
Phoxinus phoxinus
Phragmites australis
Phyllorhiza punctata
Phyllostachys flexuosa
Phymatosorus scolopendria
Physalis peruviana
Phytophthora cinnamomi
Chamaecyparis
Phytophthora pinifolia
Phytophthora ramorum
Phytophthora taxon Agathis (PTA)
Pimenta dioica
Pinus caribaea
Pinus pinaster
P. sylvestris
Piper aduncum
Pistia stratiotes
Pitangus sulphuratus
Pittosporum tenuifolium
Pittosporum undulatum
Pittosporum viridiflorum
Plasmodium relictum
Platydemus manokwari
Pluchea carolinensis
Pluchea indica
Poa annua
Poa pratensis
Poecilia reticulata
Polistes chinensis antennalis
Polygala paniculata
Polygonum cuspidatum Sieb. & Zucc. (=Fallopia japonica (Houtt. Dcne.)
Polygonum perfoliatum
Polysiphonia brodiei
Pomacea canaliculata
Pomacea insularum
Populus alba
Porcellio scaber
Porphyrio porphyrio
Potamocorbula amurensis
Potamogeton crispus
Potamogeton perfoliatus
Potamopyrgus antipodarum
Procambarus clarkii
Procyon lotor
Prosopis glandulosa
Prosopis juliflora
Prosopis spp.
Prunus campanulata
Pseudodiaptomus inopinus
Psidium cattleianum
Psidium guajava
Psittacula krameri
Psoralea pinnata
Pteris cretica
Pterois volitans
Pterygoplichthys anisitsi
